name,priceCents,station,cookSeconds
Boudin Balls,1250,FRY,360
504 Wings,1400,FRY,540
Cajun Crawfish Pies,1300,FRY,300
Smoked Tuna Dip,1500,COLD,90
Pineapple Fried Shrimp,1400,FRY,240
Clubhouse Nachos,1550,GRILL,240
Chips & Salsa,600,COLD,60
Chips & Queso,950,GRILL,180
The Hangover Burger,1800,GRILL,480
Classic Ride Burger,1700,GRILL,450
Electric Blue Burger,1850,GRILL,510
Impossible Burger,1700,GRILL,420
504 Pizza,1700,PIZZA,720
Cheesy Garlic Bread,1250,PIZZA,480
Crazy Cajun Flatbread,2250,PIZZA,780
BBQ Chicken Pizza,2100,PIZZA,750
Street Party Tacos,1600,GRILL,300
Chicken Tenders,1600,FRY,360
Steak Frites,3800,GRILL,720
Filet Upgrade,4600,GRILL,780
Shrimp Monique,2400,BOIL,540
Gulf Catch Creole,2650,GRILL,600
Seafood Platter,2300,FRY,600
Double Seafood Platter,4600,FRY,900
Sand Wedge Salad,1300,COLD,120
Caesar Salad,1200,COLD,120
Strawberry Goat Salad,1400,COLD,150
Cup Gumbo,800,BOIL,90
Bowl Gumbo,1200,BOIL,90
Garlic Veg,700,GRILL,180
Kettle Fries,600,FRY,240
Big Kid Burger,1200,GRILL,300
Kids Tenders,1200,FRY,300
Green Pie,800,COLD,60
Berry Cheesecake,900,COLD,60
Pecan Bread Pudding,1200,GRILL,240
